Date,What,Location
"Jul 12, 2024",Complex and Glassy Systems ,"Cargèse, France."
"Apr 3, 2024",Biodiversity Research Seminar Series, "University of British Columbia, Vancouver, Canada."
"Mar 4, 2024",American Physical Society March Meeting 2024, "Minneapolis, MN."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Apr 6, 2023",Ecology & Evolutionary Biology,"Princeton University, Princeton, NJ."
"Oct 27-28, 2022","Ecology, Evolution and Behavior + Kellog Biological Station","Michigan State University, East Lansing, MI."
"Feb 22, 2022",Multiscale Microbial Communities workshop,"University of Chicago, Chicago, IL."
"Nov 29, 2021",Department of Physics,"Washington University St. Louis, Remote."
"May 29, 2021",Cross-cutting theories in biology,"University of Chicago + CNRS, Remote."
"Feb 18, 2021",Ecology Live,"British Ecological Society, Remote."
"Feb 9, 2021",Biomathematics Seminar,"Pennsylvania State University, Remote."
"Feb 4, 2021",Department of Ecology and Evolutionary Biology,"Iowa State University, Remote."
"Dec 19, 2020",Eco Seminars,"Eawag Dubendorf, Switzerland, Remote."
"Nov 24, 2020",International Initiative for Theoretical Ecology Seminars,Remote.
"Oct 19, 2020",Biophysics Seminars,"Princeton University, Remote."
"June 28, 2019","Department of Chemistry, Life Sciences and Environmental Sustainability","Università di Parma, Italy"
"June 27, 2019",Department of Physics,"Università di Padova, Padua, Italy."
"May 22, 2019",Biophysics Seminar,"Massachusetts Institute of Technology, Cambridge, MA."
"May 21, 2019",Graduate Science Education Seminar,"Harvard Medical School, Boston, MA."
"May 17, 2019",Center for Data and Computing,"University of Chicago, Chicago, IL."
"May 2, 2019",Department of Epidemiology,"University of Florida, Gainesville, FA."
"Apr 3, 2019",Department of Ecology & Evolutionary Biology,"Yale University, New Haven, CT."
"Oct 7, 2018",Stazione Zoologica Anton Dohrn,"Naples, Italy."
"June 12, 2018",NetSci 2018 (Satellite),"Paris, France."
"Feb 23, 2018",Istituto Italiano di Cultura,"Chicago, IL."
"Jan 25, 2018",EvMorph Seminar,"University of Chicago, Chicago, IL."
"Nov 16, 2017",Department of Biology,"Georgia Institute of Technology, Atlanta, GA."
"Oct 26, 2017",Biophysics Seminar,"Massachusetts Institute of Technology, Cambridge, MA."
"Jul 13, 2017",Society for Industrial and Applied Mathematics,"Workshop on Network Science, Pittsburgh, PA. Plenary Speaker. "
"Apr 1, 2017","American Mathematical Society, Spring Central Sectional Meeting","Bloomington, IN. Keynote Speaker"
"Dec 14, 2016",British Ecological Society Annual Meeting,Liverpool UK. Keynote Speaker.
"Oct 27, 2016",Science at the Edge,"Michigan State University, East Lansing, MI."
"Oct 12, 2016",Computation in Science,"University of Chicago, Chicago IL."
"Apr 14, 2016",Mathematical Biosciences Institute,"Columbus, OH."
"Feb 29, 2016",Statistics Colloquium,"University of Chicago, Chicago, IL."
"Feb 1, 2016",Wildlife Ecology and Conservation Seminars,"University of Florida, Gainesville, FL."
"Dec 11, 2015",Santa Fe Institute,"Santa Fe, NM."
"Nov 13, 2015",Department of Mathematics,"DePaul University, Chicago, IL."
"Oct 8, 2015",Department of Biology,"Stanford University, Palo Alto, CA."
"Sept 18-19, 2015",Living systems from interactions to critical behavior,"Venezia, Italy."
"Aug 14, 2015",Ecological Society of America Annual Meeting,"Baltimore, MD. Contributed."
"Mar 12, 2015",E3B seminar series,"ETH Zürich, Zurich, Switzerland. "
"Dec 5, 2014",6th Swedish Meeting in Mathematics in Biology,"Linköping, Sweden. Keynote Speaker"
"Nov 5, 2014",Ginzburg Colloquim,"Stony Brook University, Stony Brook, NY. "
"Oct 31, 2014",Computational Social Science Workshop,"University of Chicago, Chicago, IL. "
"Sept 19, 2014",Natural Resources & Environmental Sciences,"U. Illinois at Urbana-Champaign, Urbana, IL."
"Aug 10, 2014",Sci Foo,"Google, Mountain View, CA."
"July 10, 2014",Bernoulli Lecture,"Center Interfacultaire Bernoulli, EPFL, Lausanne, Switzerland. "
"May 5, 2014",Marine Biological Lab,"Woods Hole, MA."
"Dec 5, 2013",Graduate group in ecology,"University of California Davis, Davis, CA."
"Nov 13, 2013",Food Webs Science for Impact,"Giessen, Germany. Keynote Speaker"
"Oct 12, 2013",Society of Population Ecology,"Sakai, Japan. Keynote Speaker"
"Apr 22, 2013",Department of Biology,"University of Puerto Rico – Rio Piedras, San Juan, Puerto Rico."
"Mar 14, 2013",iDiv,"Leipzig, Germany. Invited"
"Nov 1, 2012",Martin School,"University of Oxford, Oxford, UK."
"Sept 24, 2012",Department of Biology,"University of Umeå, Umeå, Sweden."
"Sept 14, 2012",Theory group,"University of Michigan, Ann Arbor, MI."
"June 23, 2012",NetSci 2012,"Evanston, IL. Invited"
"June 7, 2012",BioM&S Symposium 2012,"University of Guelph, CA. Keynote speaker"
"May 14, 2012",Department of Ecology & Evolution,"University of Chicago, Chicago IL."
"Apr 26, 2012",Institute for Biodiversity and Ecosystem Dynamics,"University of Amsterdam, Amsterdam, the Netherlands. Keynote speaker"
"Apr 13, 2012",EEB Retreat,"University of Toronto, Toronto, Canada. Keynote speaker"
"Apr 6, 2012",Biology,"Case Western Reserve, Cleveland, OH."
"Oct 23, 2011",Chicago Humanities Festival,"Chicago, IL. Invited"
"Sept 15, 2011",Biology,"University of Sao Paulo, Sao Paulo, Brazil. Invited"
"Sept 14, 2011",Biology,"University of Campinas, Brazil, Campinas, Brazil."
"Sept 1 and 2, 2011",Ecology and Evolutionary Biology,"Iowa State University, Ames, IA."
"Aug 8, 2011",Ecological Society of America Annual Meeting,"Austin, TX. Contributed."
"July 18, 2011",International Environmetrics Society – Regional Meeting,"La Crosse, WI. Invited"
"June 2, 2011",European Conference on Ecological Modeling,"Riva del Garda, Italy. Contributed."
"Sept 7, 2010",British Ecological Society Annual Meeting,"Leeds, UK. Invited"
